Year,Country,Elo,CONF,PopulationOLD,X4yrAgoGDP,X4yrAgoGDPPER,FAVSPORT,X1yrPopROC,Population, GDP ,GDPPER
2017,Nepal,900,AFC,30637649,49502553568,1616,0,0,32030902,79511597061,2482
2017,Netherlands,1896,UEFA,17550493,953000000000,54315,1,0,17978312,1098212304653,61085
2017,New Zealand,1525,OFC,5223515,253000000000,48527,0,0,5691631,311599828541,54747
2017,Nicaragua,1267,CONCACAF,6497278,20555819004,3164,0,0,6789558,28603262103,4213
2017,Niger,1296,CAF,25094131,27827732266,1109,.,0,29319979,56313685262,1921
2017,Nigeria,1696,CAF,212085319,599000000000,2823,1,0,235638597,880879402241,3738
2017,Norway,1581,UEFA,5478331,465000000000,84799,1,0,5681719,540614518898,95150
2017,Oman,1513,AFC,5613111,102000000000,18144,.,0,6795780,142030260471,20900
2017,Pakistan,946,AFC,213196997,504000000000,2365,0,0,230706998,748204989983,3243
2017,Palau,402,None,22662,354581430,15647,.,0,23635,428564168,18133
2017,PaNAma,1672,CONCACAF,4369135,76457123577,17499,0,0,4657542,94011792786,20185
2017,Papua New Guinea,1093,OFC,8958171,31666463800,3535,0,0,9725761,44977950907,4625
2017,Paraguay,1753,CONMEBOL,7168713,39796125898,5551,1,0,7544884,51839377306,6871
2017,Peru,1882,CONMEBOL,33791125,270000000000,7981,1,0,35498925,338741397113,9542
2017,Philippines,1159,AFC,111613360,443000000000,3970,0,0,118735883,598711620240,5042
2017,Poland,1843,UEFA,37998867,608000000000,16001,1,0,38021907,700668264004,18428
2017,Portugal,1995,UEFA,10167947,246000000000,24216,1,0,10043713,277663129331,27645
2017,Qatar,1457,AFC,2940309,210000000000,71460,1,0,3275758,263110836428,80321
2017,Romania,1688,UEFA,19131459,243000000000,12710,1,0,18686953,276916052232,14819
2017,Russian Federation,1698,UEFA,145107576,1830000000000,12603,1,0,145722705,2104300848540,14440
2017,Rwanda,1282,CAF,13460539,20476932099,1521,.,0,14841093,35339185791,2381
2017,Samoa,693,OFC,201807,1120133394,5551,.,0,207321,1425770341,6877
2017,San Marino,853,UEFA,34202,1917226249,56056,.,0,35023,2212812370,63182
2017,Saudi Arabia,1575,AFC,35756849,848000000000,23722,1,0,38816686,1047911594719,26996
2017,Senegal,1753,CAF,17763275,32645385624,1838,1,0,19906792,54397031610,2733
2017,Serbia,1769,UEFA,6880245,49947881634,7260,1,0,6741094,59149003399,8774
2017,Seychelles,939,CAF,100683,1809569680,17973,.,0,105767,2192071211,20725
2017,Sierra Leone,1380,CAF,8244828,10261006292,1245,1,0,8995009,18665952839,2075
2017,Singapore,1057,AFC,5632186,366000000000,64977,.,0,5652190,412992368773,73068
2017,Slovakia,1748,UEFA,5476451,111000000000,20300,1,0,5513256,128468969617,23302
2017,Slovenia,1639,UEFA,2073589,55961256545,26988,1,0,2080453,64009008991,30767
2017,Solomon Islands,1200,OFC,661976,2029263744,3065,.,0,716802,2942822268,4105
2017,Somalia,846,CAF,16598886,20666715112,1245,.,0,18689001,38750636430,2073
2017,South Africa,1540,CAF,59631449,447000000000,7500,1,0,62695487,562821466259,8977
2017,South Korea,1761,AFC,52359638,1760000000000,33597,1,0,53268585,2016569695815,37857
2017,Spain,2031,UEFA,46925896,1500000000000,31865,1,0,47282452,1700694836626,35969
2017,Sri Lanka,688,AFC,22441460,117000000000,5206,.,0,23485317,152034501496,6474
2017,Sudan,1245,CAF,44638223,174000000000,3902,1,0,49158827,246309921314,5010
2017,SuriNAme,1238,CONCACAF,584090,4244553427,7267,1,0,605538,5322473321,8790
2017,Swaziland,1296,CAF,1469240,6291813743,4282,.,0,1578834,8622873820,5462
2017,Sweden,1825,UEFA,10672270,642000000000,60180,1,0,11313095,765610188408,67675
2017,Switzerland,1866,UEFA,8849257,796000000000,89977,1,0,9249846,933015883280,100868
2017,Tajikistan,1214,AFC,9716263,15358184819,1581,1,0,10582013,25914264241,2449
2017,Tanzania,1300,CAF,64946307,110000000000,1694,1,0,73600094,188373322327,2559
2017,Thailand,1406,AFC,69738806,556000000000,7966,0,0,70447222,667761900276,9479
2017,Togo,1383,CAF,8623046,11864616741,1376,1,0,9535758,21178221831,2221
2017,Tonga,547,OFC,111704,568089444,5086,.,0,115513,734524887,6359
2017,Trinidad and Tobago,1420,CONCACAF,1385930,25895053647,18684,0,0,1402941,30183135912,21514
2017,Tunisia,1624,CAF,12065433,55189277575,4574,1,0,12623402,72951793547,5779
2017,Turkey,1712,UEFA,85910315,1060000000000,12301,1,0,91406036,1300692715184,14230
2017,Turkmenistan,1254,AFC,6160057,54717665877,8883,1,0,6590102,69742979617,10583
2017,Tuvalu,758,OFC,11582,53815347,4647,.,0,11985,70345704,5869
2017,Uganda,1461,CAF,48939062,66458468124,1358,1,0,55876494,122478134464,2192
2017,Ukraine,1738,UEFA,44145192,153000000000,3460,1,0,43469721,196536811786,4521
2017,United Arab Emirates,1563,AFC,9944826,457000000000,45999,0,0,10521068,545995095641,51895
2017,United States,1752,CONCACAF,335172930,21400000000000,63889,0,0,344901070,23597184743607,68417
2017,Uruguay,1867,CONMEBOL,3508295,65925354188,18791,1,0,3560609,77005067449,21627
2017,Uzbekistan,1609,AFC,34656931,81707422607,2358,1,0,37085727,122541910869,3304
2017,Vanuatu,1225,OFC,301179,1256353413,4171,.,0,328364,1753011054,5339
2017,VietNAm,1271,AFC,99549468,325000000000,3264,1,0,103726330,443388555762,4275
2017,Zambia,1501,CAF,19296817,45695585207,2368,1,0,21783334,72349365868,3321
2017,Zimbabwe,1472,CAF,18159125,34320005127,1890,1,0,19948926,55663177334,2790
