Year,Country,Elo,CONF,PopulationOLD, X4yrAgoGDP ,X4yrAgoGDPPER,FAVSPORT,X1yrPopROC, Population 
2017,Philippines,1159,AFC,111613360,443084000000,3970,0,0,118735883
2017,Poland,1843,UEFA,37998867,608028000000,16001,1,0,38021907
2017,Portugal,1995,UEFA,10167947,246231000000,24216,1,0,10043713
2017,Puerto Rico,1029,CONCACAF,3076219,.,.,.,0,2835668
2017,Qatar,1457,AFC,2940309,210115000000,71460,1,0,3275758
2017,Romania,1688,UEFA,19131459,243162000000,12710,1,0,18686953
2017,Russian Federation,1698,UEFA,145107576,1828730000000,12603,1,0,145722705
2017,Rwanda,1282,CAF,13460539,20476932099,1521,.,0,14841093
2017,Samoa,693,OFC,201807,1120133394,5551,.,0,207321
2017,San Marino,853,UEFA,34202,1917226249,56056,.,0,35023
2017,Saudi Arabia,1575,AFC,35756849,848232000000,23722,1,0,38816686
2017,Senegal,1753,CAF,17763275,32645385624,1838,1,0,19906792
2017,Serbia,1769,UEFA,6880245,49947881634,7260,1,0,6741094
2017,Seychelles,939,CAF,100683,1809569680,17973,.,0,105767
2017,Sierra Leone,1380,CAF,8244828,10261006292,1245,1,0,8995009
2017,Singapore,1057,AFC,5632186,365965000000,64977,.,0,5652190
2017,Slovakia,1748,UEFA,5476451,111171000000,20300,1,0,5513256
2017,Slovenia,1639,UEFA,2073589,55961256545,26988,1,0,2080453
2017,Solomon Islands,1200,OFC,661976,2029263744,3065,.,0,716802
2017,Somalia,846,CAF,16598886,20666715112,1245,.,0,18689001
2017,South Africa,1540,CAF,59631449,447257000000,7500,1,0,62695487
2017,South Korea,1761,AFC,52359638,1759150000000,33597,1,0,53268585
2017,South Sudan,1057,CAF,14077712,.,.,.,0,15759103
2017,Spain,2031,UEFA,46925896,1495310000000,31865,1,0,47282452
2017,Sri Lanka,688,AFC,22441460,116840000000,5206,.,0,23485317
2017,Sudan,1245,CAF,44638223,174163000000,3902,1,0,49158827
2017,Suriname,1238,CONCACAF,584090,4244553427,7267,1,0,605538
2017,Swaziland,1296,CAF,1469240,6291813743,4282,.,0,1578834
2017,Sweden,1825,UEFA,10672270,642257000000,60180,1,0,11313095
2017,Switzerland,1866,UEFA,8849257,796225000000,89977,1,0,9249846
2017,Syria,1609,AFC,17644093,.,.,1,0,17039752
2017,Tajikistan,1214,AFC,9716263,15358184819,1581,1,0,10582013
2017,Tanzania,1300,CAF,64946307,110001000000,1694,1,0,73600094
2017,Thailand,1406,AFC,69738806,555523000000,7966,0,0,70447222
2017,Togo,1383,CAF,8623046,11864616741,1376,1,0,9535758
2017,Tonga,547,OFC,111704,568089444,5086,.,0,115513
2017,Trinidad and Tobago,1420,CONCACAF,1385930,25895053647,18684,0,0,1402941
2017,Tunisia,1624,CAF,12065433,55189277575,4574,1,0,12623402
2017,Turkey,1712,UEFA,85910315,1056810000000,12301,1,0,91406036
2017,Turkmenistan,1254,AFC,6160057,54717665877,8883,1,0,6590102
2017,Tuvalu,758,OFC,11582,53815347,4647,.,0,11985
2017,Uganda,1461,CAF,48939062,66458468124,1358,1,0,55876494
2017,Ukraine,1738,UEFA,44145192,152737000000,3460,1,0,43469721
2017,United Arab Emirates,1563,AFC,9944826,457451000000,45999,0,0,10521068
2017,United States,1752,CONCACAF,335172930,21413800000000,63889,0,0,344901070
2017,Uruguay,1867,CONMEBOL,3508295,65925354188,18791,1,0,3560609
2017,Uzbekistan,1609,AFC,34656931,81707422607,2358,1,0,37085727
2017,Vanuatu,1225,OFC,301179,1256353413,4171,.,0,328364
2017,Venezuela,1739,CONMEBOL,33677462,.,.,0,0,35468278
2017,Vietnam,1271,AFC,99549468,324962000000,3264,1,0,103726330
2017,Zambia,1501,CAF,19296817,45695585207,2368,1,0,21783334
2017,Zimbabwe,1472,CAF,18159125,34320005127,1890,1,0,19948926
