Year,Team,AVGAGE,MEDAGE,AGERANGE,AVGHEIGHT,MEDHEIGHT,AGECOUNT,HEIGHTCOUNT,AGEHEIGHT,Place,MaxRounds,Perf,PerfPer
1990,Egypt,26,26.5,12,.,.,22,10,.,5,5,0,0
1990,England,27.77272727,27,17,1.814090909,1.8,22,22,48.6,2,5,3,0.6
1990,Holland,26.77272727,27,15,1.819545455,1.815,22,22,49.005,4,5,1,0.2
1990,Italy,26.40909091,26,12,1.807727273,1.8,22,22,46.8,2,5,3,0.6
1990,Republic of Ireland,28.5,29,13,1.818095238,1.8,22,21,52.2,3,5,2,0.4
1990,Romania,25.68181818,25,14,1.791176471,1.78,22,17,44.5,4,5,1,0.2
1990,Scotland,27.04545455,26.5,9,1.805,1.815,22,22,48.0975,5,5,0,0
1990,South Korea,26.77272727,28,11,1.781818182,1.78,22,22,49.84,5,5,0,0
1990,Spain,25.81818182,25.5,11,1.796111111,1.78,22,18,45.39,4,5,1,0.2
1990,Sweden,24.86363636,24.5,10,1.842,1.84,22,20,45.08,5,5,0,0
1990,USA,23.40909091,24,8,1.802777778,1.8,22,18,43.2,5,5,0,0
1990,USSR,27.77272727,28,11,1.811363636,1.83,22,22,51.24,5,5,0,0
1990,United Arab Emirates,25.13636364,26,12,1.745625,1.74,22,16,45.24,5,5,0,0
1990,Uruguay,27.27272727,27.5,16,1.781875,1.79,22,16,49.225,4,5,1,0.2
1990,West Germany,27.22727273,28,11,1.79,1.8,22,22,50.4,0,5,5,1
1990,Yugoslavia,25.77272727,25.5,15,1.824444444,1.83,22,18,46.665,3,5,2,0.4
1994,Argentina,27.45454545,27.5,13,1.7985,1.8,22,20,49.5,4,5,1,0.2
1994,Belgium,29.04545455,29,13,1.811363636,1.83,22,22,53.07,5,5,0,0
1994,Bolivia,27.04545455,27,16,1.758,1.78,22,20,48.06,5,5,0,0
1994,Brazil,27.18181818,27.5,18,1.7935,1.78,22,20,48.95,0,5,5,1
1994,Bulgaria,27.59090909,27,9,1.806315789,1.8,22,19,48.6,2,5,3,0.6
1994,Cameroon,27.18181818,26,24,1.786363636,1.78,22,22,46.28,5,5,0,0
1994,Colombia,26.77272727,26,12,1.79,1.8,22,19,46.8,5,5,0,0
1994,Germany,28.68181818,28.5,9,1.812272727,1.815,22,22,51.7275,3,5,2,0.4
1994,Greece,28.45454545,28.5,15,1.82,1.83,22,20,52.155,5,5,0,0
1994,Holland,26.90909091,27,12,1.826363636,1.8,22,22,48.6,3,5,2,0.4
1994,Italy,27.40909091,27,12,1.797272727,1.8,22,22,48.6,1,5,4,0.8
1994,Mexico,27.68181818,27,11,1.785238095,1.78,22,21,48.06,4,5,1,0.2
1994,Morocco,26.09090909,27,11,1.7985,1.8,22,20,48.6,5,5,0,0
1994,Nigeria,25.45454545,26,13,1.817727273,1.815,22,22,47.19,4,5,1,0.2
1994,Norway,26.40909091,26,12,1.843181818,1.84,22,22,47.84,5,5,0,0
1994,Republic of Ireland,28.72727273,28.5,19,1.800454545,1.8,22,22,51.3,4,5,1,0.2
1994,Romania,24.81818182,25,9,1.792,1.78,22,20,44.5,3,5,2,0.4
1994,Russia,25.86363636,25,12,1.8145,1.83,22,20,45.75,5,5,0,0
1994,Saudi Arabia,23.81818182,22.5,15,1.784210526,1.78,22,19,40.05,4,5,1,0.2
1994,South Korea,26.54545455,27,12,1.75047619,1.75,22,21,47.25,5,5,0,0
1994,Spain,26.04545455,26,13,1.797727273,1.8,22,22,46.8,3,5,2,0.4
1994,Sweden,25.22727273,25,14,1.831818182,1.83,22,22,45.75,2,5,3,0.6
1994,Switzerland,27.77272727,27,14,1.798571429,1.8,22,21,48.6,4,5,1,0.2
1994,USA,26.09090909,25,17,1.803636364,1.8,22,22,45,4,5,1,0.2
1998,Argentina,26.04545455,25,10,1.786818182,1.78,22,22,44.5,3,5,2,0.4
