"","x"
"531",0.000304094002335873
"1963",0.01305466787495
"1838",0.000401417492894307
"938",2.37102537991206e-05
"3426",0.2772319538493
"2931",0.267441778826723
"263",0.0217208296763742
"222",0.140555814106508
"849",0.00953082124595215
"3267",0.020733501649203
"1748",0.0518504514883833
"2529",0.361931077276755
"1773",0.0166985087765234
"39",0.117620153952805
"395",0.278370302010551
"35",0.136354592888074
"2095",0.153811484877395
"2198",0.110246610284809
"2581",0.0299106042302501
"1839",0.000379913074590212
"1449",0.00115095043421227
"2408",0.0438742850948705
"2783",0.181923378646104
"1681",5.45929377909446e-05
"2493",0.0375442734398863
"2971",0.0365909002934584
"947",0.480600776917411
"69",0.0276710022826934
"2470",0.113345180504305
"1417",0.00681719620453193
"1923",0.0923818221531385
"1009",0.0335684963536585
"3298",0.204759671174497
"1959",0.0158803995208043
"1020",0.020820501445224
"1328",0.377131334243904
"1677",6.8710646016441e-05
"575",0.394890158776807
"1597",0.00925149179755588
"3177",0.086697730911183
"1295",0.000136115682396753
"700",0.000988579400369118
"1921",0.101007553827295
"1810",0.00248701498143272
"1774",0.0153821308909362
"37",0.127005830066845
"2395",0.0779540699356798
"2742",0.0328621569845343
"2557",0.0922027056527975
"2700",0.233275764914304
"2784",0.173868965907459
"1059",0.00280279799755274
"1652",0.000394645135199306
"116",0.00241477781869077
"1712",0.259279688697256
"1673",9.13753982731053e-05
"3146",0.350491526628908
"3140",0.519883537311769
"2434",0.00962481512767412
"3218",0.312032678298559
"3358",0.304023071607453
"2061",2.34980437896985e-05
"1588",0.014552876719758
"1393",0.0227327565665872
"741",6.1996693415442e-05
"2423",0.0198087657903873
"2813",0.0443527927593979
"1520",0.296276260718898
"1836",0.000451225335819801
"10",0.383818331208618
"3202",0.0153497820539772
"1064",0.00198260563778928
"1041",0.00752349528996122
"2768",0.390154902260197
"1151",0.249062570259236
"1847",0.000229218160090504
"1211",0.0185552815034774
"482",0.0046561665815781
"307",0.00207692324773999
"50",0.0639847246190418
"2915",0.605406428585344
"2324",0.0329677326515007
"3253",0.0699479019827829
"2560",0.0824344765122546
"1133",0.551215103830135
"1050",0.00481663186511781
"1385",0.0325707049561895
"1279",0.000382073979729261
"2435",0.0078902603642159
"718",0.000359732731123981
"869",0.00281870115469892
"3422",0.332842875751731
"359",8.24865363178726e-05
"553",5.79440304272419e-05
"91",0.00992001411275798
"1927",0.0805947481490423
"3310",0.11929746213125
"686",0.0021184924459774
"2698",0.257331430150633
"2808",0.057208634874094
"165",0.00011189481252295
"3087",0.217032140887412
"533",0.00026520478902623
"898",0.000723953868435553
"1506",0.556413482984702
"2064",8.62412524695437e-06
"1452",0.00101531435467499
"2680",0.00871279432822406
"2283",0.181080465145323
"1325",0.424957351624144
"2754",0.0168974687083253
"642",0.021219273027279
"2644",0.0714070508657245
"1034",0.0104636520426783
"85",0.0139388295196654
"3447",0.0875621587415411
"808",0.0625696691008472
"515",0.000887019409832002
"143",0.000555650674732159
"1996",0.00271372500387992
"3390",0.0563600895049275
"1964",0.0125381100894011
"2007",0.00142141211349713
"427",0.0736499234188102
"840",0.0141418307660527
"2619",0.26201323029545
"130",0.00122151731678967
"829",0.0235666795606349
"3089",0.195565260787534
"1993",0.00302380210957373
"2858",0.218966668234805
"1764",0.0238841198362835
"318",0.00121461452024748
"2157",0.00699226625659518
"1546",0.102933955196062
"3041",0.0488442261071082
"2333",0.0204098758519093
"1261",0.0013823707355537
"889",0.00107579051782754
"720",0.000304094002335873
"2739",0.0366910407687854
"216",0.173699735796659
"220",0.152188177651212
"1418",0.00634596862911688
"2509",0.0176599564149119
"3258",0.051077075536989
"3324",0.0535609761104639
"2465",0.146216304982292
"3016",0.184647797189849
"443",0.0329677326515007
"3491",0.215788755946233
"815",0.0457153997522859
"25",0.192019426915915
"2523",0.466869386331558
"3418",0.407440044260939
"78",0.0191011106647259
"1093",0.00043090892869442
"3314",0.0875621587415411
"13",0.348774407364131
"2812",0.0462438316212533
"3533",0.0099548021702584
"2037",0.000215455494838583
"1488",8.32496661965962e-05
"3313",0.0927778793134308
"2438",0.499325995414949
"2348",0.00884457190419678
"1134",0.51350755836147
"2769",0.381807485876165
"434",0.0566508977225037
"2484",0.0568144434151303
"1015",0.026166828212571
"622",0.0529776364218022
"2732",0.0548950220490853
"2457",0.223077054568609
"2845",0.414995564744429
"3052",0.0222748251755625
"1740",0.0774972389182712
"2286",0.152644959882209
"598",0.150517604218521
